name|information missing in the glosses|information missing in the German text|lexical errors|minor differences|comment
11August_2010_Wednesday_tagesschau-1|0|0|1|0|lexical error (FEBRUAR G vs. august W)
11August_2010_Wednesday_tagesschau-4|0|0|0|1|x
11August_2010_Wednesday_tagesschau-5|0|1|0|0|word missing in W (loc-SUEDWEST)
11August_2010_Wednesday_tagesschau-6|1|0|0|0|word missing in G (regionen)
11August_2010_Wednesday_tagesschau-7|0|0|0|1|x
11August_2010_Wednesday_tagesschau-9|1|0|0|0|both emsland and am oberrhein W translated as FLUSS G
11August_2010_Wednesday_tagesschau-10|1|0|0|0|? L IX G translated to lausitz W
11August_2010_Wednesday_tagesschau-11|0|0|0|1|x
11August_2010_Wednesday_tagesschau-12|0|0|0|1|x
11August_2010_Wednesday_tagesschau-13|0|0|1|0|BLEIBEN GLEICH G vs. ändert sich wenig W
25October_2010_Monday_tagesschau-14|0|0|0|1|x
01November_2010_Monday_tagesschau-134|0|0|0|1|? IN-KOMMEND G vs. in den nächsten tagen W
01November_2010_Monday_tagesschau-135|0|0|1|0|lexical error (NEBEL G vs. bedeckt W)
01November_2010_Monday_tagesschau-138|0|0|0|1|x
01November_2010_Monday_tagesschau-139|0|0|1|0|lexical error (MEISTENS WOLKE G vs. stark bewölkt W)
01November_2010_Monday_tagesschau-141|1|0|0|0|"? extra information, ""Ausschmückung"" in W - STURM G translated to starken bis stürmischen böen W"
01November_2010_Monday_tagesschau-142|0|0|0|1|? BERG BERG G vs. Alpenrand W
01November_2010_Monday_tagesschau-143|1|0|0|0|information missing in G (niederrhein W)
01November_2010_Monday_tagesschau-144|0|0|0|1|x
01November_2010_Monday_tagesschau-145|0|0|0|1|x
01November_2010_Monday_tagesschau-146|0|0|0|1|? MILD G - dabei bleibt es sehr mild W
12July_2010_Monday_heute-255|1|0|0|0|? loc-SUED G vs. am alpenrand W
12July_2010_Monday_heute-256|0|0|0|1|x (except maybe added naja in W)
12July_2010_Monday_heute-257|0|0|1|0|lexical error SONNE G vs hitze W
12July_2010_Monday_heute-258|0|0|0|1|x 
12July_2010_Monday_heute-259|0|0|0|1|x
21August_2011_Sunday_tagesschau-260|0|0|0|1|x
21August_2011_Sunday_tagesschau-261|1|0|0|0|information missing in G (in deutschland W)
21August_2011_Sunday_tagesschau-262|1|0|0|0|information missing in G (balkanhoch, england, schweden, frankreich W)
21August_2011_Sunday_tagesschau-266|0|0|1|0|lexical error (MEHR FREUNDLICH G vs meist freundlich W)
21August_2011_Sunday_tagesschau-267|0|0|0|1|x
21August_2011_Sunday_tagesschau-268|1|0|0|0|information missing in G (NORDRAUM G vs an der ostsee W)
21August_2011_Sunday_tagesschau-269|1|0|0|0|information missing in G (oberrhein, emsland W)
21August_2011_Sunday_tagesschau-270|1|0|0|0|information missing in G (temperaturen, grad W, BERG G translated to breisgau W)
21August_2011_Sunday_tagesschau-271|0|0|1|0|lexical error REGEN G - gewitter W)
21August_2011_Sunday_tagesschau-272|1|0|0|0|information missing in G (meist W)
21August_2011_Sunday_tagesschau-273|0|0|0|1|x
21August_2011_Sunday_tagesschau-274|0|0|1|0|information missing in G/lexical error 
22November_2010_Monday_heute-275|0|0|0|1|x
22November_2010_Monday_heute-276|0|0|1|0|??? impossible to follow how this W was translated from G
22November_2010_Monday_heute-277|1|0|0|0|"luft missing in G, ""weiter nach mittel und auch nach westeuropa vorarbeiten"" missing in G"
22November_2010_Monday_heute-280|1|0|0|0|information missing in G (an den küsten W)
22November_2010_Monday_heute-281|1|0|0|0|information missing in G (nordosten, zum teil noch W)
12July_2010_Monday_tagesschau-380|0|0|0|1|x
